timestamp,identifier,value
1731428272,SKIN_CONDUCTANCE,"0004abff3841003341003741006541007d41004741005041003641003c41003c41002f41002d41004741004441006a41005441003341004a41005841003b41000b41002641001c41003241003a4100"
1731428273,SKIN_CONDUCTANCE,"0004abff3341005141003f41002c41002741003541003141002841002b41003441002a41002741003841002f41001c41003041004e41003441003341002141002f4100484100304100274100344100"
1731428274,SKIN_CONDUCTANCE,"0004abff4541006841004441002441004341002d41002241001f41003a41002941001c41000641002d41003b41003241003741004941002a41003241001b41002641001341003f4100434100344100"
1731428275,SKIN_CONDUCTANCE,"0004abff1e41005541003f41004641005141001e41002341005341000841000241002c41004241002d41001441001a41000f41003441003841001141001441000b4100204100254100204100154100"
1731428276,SKIN_CONDUCTANCE,"0004abff1e41002041000441001541002441001d41000c41001241000d41001d41001d4100124100fb40000d41002d41000e41002841001e4100084100fa40001841001d41001e4100204100124100"
1731428277,SKIN_CONDUCTANCE,"0004abfffe40003641002c41000341002241000c41001141001641002441000e41001641002241000c41000541000841001141000341000741001141000941000e41002641001d41002c4100184100"
1731428278,SKIN_CONDUCTANCE,"0004abff134100444100284100fe40000841001f4100274100e94000124100124100084100f840001e4100264100254100044100104100ea4000104100054100074100114100034100094100f94000"
1731428279,SKIN_CONDUCTANCE,"0004abff054100304100294100154100f34000004100084100014100194100084100fc4000ea4000ed4000ff40000a41000a4100214100164100f34000bd4000e24000ff4000044100184100234100"
1731428280,SKIN_CONDUCTANCE,"0004abfff540004a41001e41001241000f41003141001d4100ee4000ea4000f44000e140000841000c4100154100e14000e34000f54000ff40000e4100fe4000f74000f84000124100f54000fe4000"
1731428281,SKIN_CONDUCTANCE,"0004abff134100174100d94000ee4000de4000fb4000f84000eb4000fd40000941000041000f4100f24000024100f34000044100fe40000f41000141000841000541001c41000d4100f24000084100"
1731428282,SKIN_CONDUCTANCE,"0004abfffd40000b4100f84000cc4000fa40000c4100e74000014100034100ff4000f84000e24000d44000d54000064100ec4000e24000f14000fe4000fc4000e64000fd4000f24000f34000074100"
1731428283,SKIN_CONDUCTANCE,"0004abff024100fb4000fb4000fb4000fe4000024100f24000fe4000034100fa4000e44000064100064100f24000ef4000de4000e64000fd4000054100ec4000e14000ea4000eb4000e74000f44000"
1732020425,ACC,"0004016e13fe9bff9eff13fe9eff9fff13fe9cffa1ff12fe9bff9fff12fe9dffa0ff12fe9dff9eff14fe9cff9fff15fe9bffa2ff12fe9cff9cff13fe9dff9eff13fe9dff9eff12fe9dffa1ff13fe9dff9fff13fe9eff9fff13fe9eff9eff13fe9eff9cff12fe9dff9dff12fe9fff9eff12fe9fff9eff12fe9fff9eff12fe9fff9cff13fe9fff9dff12fe9fff9eff12fe9eff9dff13fe9eff9cff13fe9eff9cff12fe9fff9cff13fe9fff9cff13fe9eff9dff13fe9dff9bff12fe9eff9cff13fe9dff9bff"
